ANT	225	222	141899
BOL	260	172	735
BOY	299	260	7780
CAL	227	267	68670
CAQ	261	397	5280
CAS	340	265	1629
CAU	176	354	102147
CES	284	132	14943
CHO	181	260	181
CUN	260	273	32580
HUI	222	350	136161
GUA	310	75	2990
MAG	260	114	10826
MET	300	325	3877
NAR	144	379	35679
NSA	305	180	23471
PUT	216	416	290
QUI	216	289	17739
RIS	208	269	45918
SAN	284	221	55918
TOL	228	310	97451
VDC	191	315	49667
